Plugin,"String Key",English,"Hindi (hi)","Marathi (mr)","Swahili (sw)","Kannada (kn)"
local_airpay_skills,teamheatmap,"Team Skills Heat Map","टीम कौशल हीट मैप","टीम कौशल्य हीट मॅप","Ramani ya Joto ya Ujuzi wa Timu","ತಂಡದ ಕೌಶಲ್ಯ ಹೀಟ್ ಮ್ಯಾಪ್"
local_airpay_skills,careerpath,"Career Path","करियर पथ","करिअर मार्ग","Njia ya Kazi","ವೃತ್ತಿ ಮಾರ್ಗ"
local_airpay_notifications,pluginname,"Airpay Smart Notifications","एयरपे स्मार्ट सूचनाएँ","एअरपे स्मार्ट सूचना","Arifa za Airpay","ಏರ್‌ಪೇ ಸ್ಮಾರ್ಟ್ ಅಧಿಸೂಚನೆಗಳು"
local_airpay_notifications,privacy:metadata,"The notifications plugin stores notification preferences and delivery logs.",,"सूचना प्लगइन सूचना प्राधान्ये आणि वितरण नोंदी संग्रहित करते.","Programu-jalizi ya arifa huhifadhi mapendeleo ya arifa na kumbukumbu za uwasilishaji.","ಅಧಿಸೂಚನೆ ಪ್ಲಗಿನ್ ಅಧಿಸೂಚನೆ ಆದ್ಯತೆಗಳು ಮತ್ತು ವಿತರಣಾ ದಾಖಲೆಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ."
local_airpay_notifications,taskprocessrules,"Process Airpay notification rules","एयरपे सूचना नियम प्रक्रिया","एअरपे सूचना नियम प्रक्रिया करा","Tekeleza sheria za arifa za Airpay","ಏರ್‌ಪೇ ಅಧಿಸೂಚನೆ ನಿಯಮಗಳನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಿ"
local_airpay_notifications,messageprovider:smart_alert,"Airpay learning alerts","एयरपे लर्निंग अलर्ट","एअरपे शिक्षण सूचना","Arifa za kujifunza za Airpay","ಏರ್‌ಪೇ ಕಲಿಕಾ ಎಚ್ಚರಿಕೆಗಳು"
local_airpay_notifications,notifications,Notifications,सूचनाएँ,सूचना,Arifa,ಅಧಿಸೂಚನೆಗಳು
local_airpay_notifications,markallread,"Mark all as read","सभी पढ़ा हुआ चिन्हित करें","सर्व वाचले म्हणून चिन्हांकित करा","Weka zote kuwa zimesomwa","ಎಲ್ಲವನ್ನೂ ಓದಿದ ಎಂದು ಗುರುತಿಸಿ"
local_airpay_notifications,nonotifications,"You're all caught up!","आप अपडेट हैं!","तुम्ही सर्व पाहिले आहे!","Umesoma zote!","ಎಲ್ಲವನ್ನೂ ನೋಡಿದ್ದೀರಿ!"
local_airpay_notifications,urgent,Urgent,ज़रूरी,तातडीचे,Dharura,ತುರ್ತು
local_airpay_notifications,learning,Learning,शिक्षा,शिक्षण,Kujifunza,ಕಲಿಕೆ
local_airpay_notifications,achievement,Achievement,उपलब्धि,उपलब्धी,Mafanikio,ಸಾಧನೆ
local_airpay_notifications,viewall,"View all notifications","सभी सूचनाएँ देखें","सर्व सूचना पहा","Tazama arifa zote","ಎಲ್ಲಾ ಅಧಿಸೂಚನೆಗಳನ್ನು ನೋಡಿ"
local_airpay_notifications,preferences,"Notification preferences","सूचना प्राथमिकताएँ","सूचना प्राधान्ये","Mapendeleo ya arifa","ಅಧಿಸೂಚನೆ ಆದ್ಯತೆಗಳು"
local_airpay_privacy,pluginname,"Airpay Privacy (DPDP)","एयरपे गोपनीयता (DPDP)","एअरपे गोपनीयता (DPDP)","Faragha ya Airpay (DPDP)","ಏರ್‌ಪೇ ಗೌಪ್ಯತೆ (DPDP)"
local_airpay_privacy,privacy:metadata,"Stores privacy request records and consent logs.",,"गोपनीयता विनंती नोंदी आणि संमती नोंदी संग्रहित करते.","Huhifadhi rekodi za ombi la faragha na kumbukumbu za idhini.","ಗೌಪ್ಯತೆ ವಿನಂತಿ ದಾಖಲೆಗಳು ಮತ್ತು ಒಪ್ಪಿಗೆ ಲಾಗ್‌ಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ."
local_airpay_privacy,messageprovider:privacy_request,"DPDP privacy request notifications",,"DPDP गोपनीयता विनंती सूचना","Arifa za ombi la faragha la DPDP","DPDP ಗೌಪ್ಯತೆ ವಿನಂತಿ ಅಧಿಸೂಚನೆಗಳು"
local_airpay_privacy,myprivacy,"My Privacy & Data","मेरी गोपनीयता और डेटा","माझी गोपनीयता आणि डेटा","Faragha na Data Yangu","ನನ್ನ ಗೌಪ್ಯತೆ ಮತ್ತು ಡೇಟಾ"
local_airpay_privacy,downloadrequested,"Your data export is being prepared. You will be notified when it is ready for download.","आपका डेटा एक्सपोर्ट तैयार किया जा रहा है। तैयार होने पर आपको सूचित किया जाएगा।","तुमचा डेटा निर्यात तयार होत आहे. तयार झाल्यावर तुम्हाला सूचित केले जाईल.","Usafirishaji wa data yako unatarishwa. Utaarifiwa itakapokuwa tayari.","ನಿಮ್ಮ ಡೇಟಾ ರಫ್ತು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ. ಸಿದ್ಧವಾದಾಗ ನಿಮಗೆ ತಿಳಿಸಲಾಗುವುದು."
local_airpay_privacy,deleterequested,"Your account deletion request has been submitted. An administrator will review it within 3-5 business days.","आपका खाता हटाने का अनुरोध सबमिट किया गया है। एक व्यवस्थापक 3-5 कार्य दिवसों में इसकी समीक्षा करेगा।","तुमची खाते हटवण्याची विनंती सबमिट केली आहे. प्रशासक ३-५ कार्यदिवसांत त्याचे पुनरावलोकन करतील.","Ombi lako la kufuta akaunti limewasilishwa. Msimamizi atalitathmini ndani ya siku 3-5 za kazi.","ನಿಮ್ಮ ಖಾತೆ ಅಳಿಸುವ ವಿನಂತಿಯನ್ನು ಸಲ್ಲಿಸಲಾಗಿದೆ. ನಿರ್ವಾಹಕರು 3-5 ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ ಪರಿಶೀಲಿಸುತ್ತಾರೆ."
local_airpay_privacy,downloaddata,"Download My Data","मेरा डेटा डाउनलोड करें","माझा डेटा डाउनलोड करा","Pakua Data Yangu","ನನ್ನ ಡೇಟಾ ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ"
local_airpay_privacy,deleteaccount,"Delete My Account","मेरा खाता हटाएं","माझे खाते हटवा","Futa Akaunti Yangu","ನನ್ನ ಖಾತೆ ಅಳಿಸಿ"
local_airpay_privacy,requesthistory,"Request History","अनुरोध इतिहास","विनंती इतिहास","Historia ya Maombi","ವಿನಂತಿ ಇತಿಹಾಸ"
local_airpay_privacy,dpdpnotice,"DPDP Act 2023 Notice","DPDP अधिनियम 2023 सूचना","DPDP कायदा 2023 सूचना","Notisi ya Sheria ya DPDP 2023","DPDP ಕಾಯ್ದೆ 2023 ಸೂಚನೆ"
local_airpay_assistant,pluginname,"Airpay AI Learning Assistant","एयरपे AI शिक्षा सहायक","एअरपे AI शिक्षण सहाय्यक","Msaidizi wa Kujifunza wa AI wa Airpay","ಏರ್‌ಪೇ AI ಕಲಿಕಾ ಸಹಾಯಕ"
local_airpay_assistant,enabled,"Enable AI Assistant",,"AI सहाय्यक सक्षम करा","Washa Msaidizi wa AI","AI ಸಹಾಯಕ ಸಕ್ರಿಯಗೊಳಿಸಿ"
local_airpay_assistant,enabled_desc,"Show the AI chatbot bubble on all pages. Uncheck to hide the chatbot site-wide.",,"सर्व पृष्ठांवर AI चॅटबॉट बबल दाखवा. संपूर्ण साइटवर लपवण्यासाठी अनचेक करा.","Onyesha kiputo cha chatbot ya AI kwenye kurasa zote. Ondoa tiki kuficha chatbot kwenye tovuti nzima.","ಎಲ್ಲಾ ಪುಟಗಳಲ್ಲಿ AI ಚಾಟ್‌ಬಾಟ್ ಬಬಲ್ ತೋರಿಸಿ. ಸೈಟ್-ವ್ಯಾಪಿ ಮರೆಮಾಡಲು ಅನ್‌ಚೆಕ್ ಮಾಡಿ."
local_airpay_assistant,privacy:metadata,"The AI assistant stores chat logs linked to user IDs.",,"AI सहाय्यक वापरकर्ता आयडीशी जोडलेल्या चॅट नोंदी संग्रहित करतो.","Msaidizi wa AI huhifadhi kumbukumbu za mazungumzo zilizounganishwa na vitambulisho vya mtumiaji.","AI ಸಹಾಯಕ ಬಳಕೆದಾರರ ಐಡಿಗಳಿಗೆ ಲಿಂಕ್ ಮಾಡಿದ ಚಾಟ್ ಲಾಗ್‌ಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ."
local_airpay_assistant,apikey,"Anthropic API Key","Anthropic API कुंजी","Anthropic API की","Ufunguo wa API wa Anthropic","Anthropic API ಕೀ"
local_airpay_assistant,apikey_desc,"Your Claude API key from console.anthropic.com. Required for the AI assistant to function. Costs apply per query.","console.anthropic.com से आपकी Claude API कुंजी। AI सहायक के लिए आवश्यक।","console.anthropic.com वरून तुमची Claude API की. AI सहाय्यकासाठी आवश्यक.","Ufunguo wako wa Claude API kutoka console.anthropic.com. Inahitajika ili msaidizi wa AI afanye kazi.","console.anthropic.com ನಿಂದ ನಿಮ್ಮ Claude API ಕೀ. AI ಸಹಾಯಕ ಕಾರ್ಯನಿರ್ವಹಿಸಲು ಅಗತ್ಯ."
local_airpay_assistant,ratelimit,"Daily query limit per user","प्रति उपयोगकर्ता दैनिक प्रश्न सीमा","प्रति वापरकर्ता दैनंदिन प्रश्न मर्यादा","Kikomo cha maswali ya kila siku kwa mtumiaji","ಪ್ರತಿ ಬಳಕೆದಾರರಿಗೆ ದೈನಂದಿನ ಪ್ರಶ್ನೆ ಮಿತಿ"
local_airpay_assistant,ratelimit_desc,"Maximum number of AI queries a user can make per day. Default: 20.","प्रति दिन AI प्रश्नों की अधिकतम संख्या। डिफ़ॉल्ट: 20.","वापरकर्ता दररोज करू शकणाऱ्या AI प्रश्नांची कमाल संख्या. डीफॉल्ट: 20.","Idadi ya juu ya maswali ya AI ambayo mtumiaji anaweza kuuliza kwa siku. Chaguo-msingi: 20.","ಬಳಕೆದಾರರು ಪ್ರತಿ ದಿನ ಕೇಳಬಹುದಾದ AI ಪ್ರಶ್ನೆಗಳ ಗರಿಷ್ಠ ಸಂಖ್ಯೆ. ಡೀಫಾಲ್ಟ್: 20."
local_airpay_assistant,assistant,"Learning Assistant","शिक्षा सहायक","शिक्षण सहाय्यक","Msaidizi wa Kujifunza","ಕಲಿಕಾ ಸಹಾಯಕ"
local_airpay_assistant,askme,"Ask me anything...","मुझसे कुछ भी पूछें...","मला काहीही विचारा...","Niulize chochote...","ಏನಾದರೂ ಕೇಳಿ..."
local_airpay_assistant,poweredby,"Powered by AI","AI द्वारा संचालित","AI द्वारे संचालित","Imeendeshwa na AI","AI ಮೂಲಕ ನಡೆಸಲಾಗುತ್ತಿದೆ"
local_airpay_assistant,ratelimited,"Daily limit reached. Come back tomorrow!","दैनिक सीमा पूरी। कल वापस आएं!","दैनंदिन मर्यादा गाठली. उद्या परत या!","Kikomo cha kila siku kimefikiwa. Rudi kesho!","ದೈನಂದಿನ ಮಿತಿ ತಲುಪಿದೆ. ನಾಳೆ ಮರಳಿ ಬನ್ನಿ!"
local_airpay_assistant,notconfigured,"AI assistant not configured. Contact your administrator.","AI सहायक कॉन्फ़िगर नहीं है। अपने व्यवस्थापक से संपर्क करें।","AI सहाय्यक कॉन्फिगर केलेला नाही. तुमच्या प्रशासकाशी संपर्क साधा.","Msaidizi wa AI haijasanidiwa. Wasiliana na msimamizi wako.","AI ಸಹಾಯಕ ಕಾನ್ಫಿಗರ್ ಆಗಿಲ್ಲ. ನಿಮ್ಮ ನಿರ್ವಾಹಕರನ್ನು ಸಂಪರ್ಕಿಸಿ."
local_airpay_assistant,queriesremaining,"{$a} questions remaining today","आज {$a} प्रश्न शेष","आज {$a} प्रश्न शिल्लक","Maswali {$a} yamebaki leo","ಇಂದು {$a} ಪ್ರಶ್ನೆಗಳು ಉಳಿದಿವೆ"
local_airpay_analytics,pluginname,"Airpay Advanced Analytics","एयरपे उन्नत विश्लेषिकी","एअरपे प्रगत विश्लेषण","Uchambuzi wa Kina wa Airpay","ಏರ್‌ಪೇ ಸುಧಾರಿತ ವಿಶ್ಲೇಷಣೆ"
local_airpay_analytics,analytics,"Analytics Dashboard","विश्लेषिकी डैशबोर्ड","विश्लेषण डॅशबोर्ड","Dashibodi ya Uchambuzi","ವಿಶ್ಲೇಷಣೆ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್"
local_airpay_analytics,privacy:metadata,"The analytics plugin queries existing data and does not store personal data.",,"विश्लेषण प्लगइन विद्यमान डेटा क्वेरी करते आणि वैयक्तिक डेटा संग्रहित करत नाही.","Programu-jalizi ya uchambuzi hutafuta data iliyopo na haihifadhi data binafsi.","ವಿಶ್ಲೇಷಣೆ ಪ್ಲಗಿನ್ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಡೇಟಾವನ್ನು ಪ್ರಶ್ನಿಸುತ್ತದೆ ಮತ್ತು ವೈಯಕ್ತಿಕ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುವುದಿಲ್ಲ."
local_airpay_pages,pluginname,"Airpay Pages",,"एअरपे पेजेस","Kurasa za Airpay","ಏರ್‌ಪೇ ಪುಟಗಳು"
local_airpay_pages,privacy_policy,"Privacy Policy",,"गोपनीयता धोरण","Sera ya Faragha","ಗೌಪ್ಯತಾ ನೀತಿ"
local_airpay_pages,terms_of_use,"Terms of Use",,"वापराच्या अटी","Masharti ya Matumizi","ಬಳಕೆಯ ನಿಯಮಗಳು"
local_airpay_pages,help_center,"Help Center",,"मदत केंद्र","Kituo cha Msaada","ಸಹಾಯ ಕೇಂದ್ರ"
local_airpay_pages,contact_us,"Contact Us",,"आमच्याशी संपर्क साधा","Wasiliana Nasi","ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ"
local_airpay_emails,pluginname,"Airpay Email Templates","एयरपे ईमेल टेम्पलेट","एअरपे ईमेल टेम्पलेट","Templeti za Barua Pepe za Airpay","ಏರ್‌ಪೇ ಇಮೇಲ್ ಟೆಂಪ್ಲೇಟ್‌ಗಳು"
local_airpay_emails,emailpreview,"Email Template Preview","ईमेल टेम्पलेट प्रीव्यू","ईमेल टेम्पलेट प्रीव्यू","Hakiki Templeti ya Barua Pepe","ಇಮೇಲ್ ಟೆಂಪ್ಲೇಟ್ ಪೂರ್ವವೀಕ್ಷಣೆ"
local_airpay_emails,emailpreview_desc,"Preview all branded email templates before deployment.","डिप्लॉयमेंट से पहले सभी ब्रांडेड ईमेल टेम्पलेट देखें।","डिप्लॉयमेंट आधी सर्व ब्रँडेड ईमेल टेम्पलेट पहा.","Hakiki templeti zote za barua pepe za chapa kabla ya kutumwa.","ಡಿಪ್ಲಾಯ್ ಮಾಡುವ ಮೊದಲು ಎಲ್ಲಾ ಬ್ರ್ಯಾಂಡೆಡ್ ಇಮೇಲ್ ಟೆಂಪ್ಲೇಟ್‌ಗಳನ್ನು ನೋಡಿ."
local_airpay_emails,selecttemplate,"Select a template","टेम्पलेट चुनें","टेम्पलेट निवडा","Chagua templeti","ಟೆಂಪ್ಲೇಟ್ ಆಯ್ಕೆ ಮಾಡಿ"
local_airpay_emails,selecttenant,"Select tenant","टेनेंट चुनें","टेनंट निवडा","Chagua mpangaji","ಟೆನೆಂಟ್ ಆಯ್ಕೆ ಮಾಡಿ"
local_airpay_emails,viewsource,"HTML Source","HTML सोर्स","HTML सोर्स","Chanzo cha HTML","HTML ಮೂಲ"
local_airpay_emails,viewplaintext,"Plain Text","प्लेन टेक्स्ट","प्लेन टेक्स्ट","Maandishi Safi","ಸರಳ ಪಠ್ಯ"
local_airpay_emails,viewvisual,"Visual Preview","विज़ुअल प्रीव्यू","विज़ुअल प्रीव्यू","Hakiki ya Kuona","ದೃಶ್ಯ ಪೂರ್ವವೀಕ್ಷಣೆ"
local_airpay_emails,category_compliance,Compliance,अनुपालन,अनुपालन,Utiifu,ಅನುಸರಣೆ
local_airpay_emails,category_notifications,Notifications,सूचनाएं,सूचना,Arifa,ಅಧಿಸೂಚನೆಗಳು
local_airpay_emails,category_enrollment,Enrollment,नामांकन,नोंदणी,Uandikishaji,ನೋಂದಣಿ
local_airpay_emails,category_account,Account,अकाउंट,अकाउंट,Akaunti,ಖಾತೆ
local_airpay_emails,category_privacy,Privacy,गोपनीयता,गोपनीयता,Faragha,ಗೌಪ್ಯತೆ
local_airpay_emails,tenant_airpay,Airpay,एयरपे,एअरपे,Airpay,ಏರ್‌ಪೇ
local_airpay_emails,tenant_public,Public,पब्लिक,पब्लिक,Umma,ಸಾರ್ವಜನಿಕ
local_airpay_emails,tenant_zeea,ZEEA,ZEEA,ZEEA,ZEEA,ZEEA
local_airpay_emails,no_template_selected,"Select a template from the sidebar to preview.","प्रीव्यू के लिए साइडबार से कोई टेम्पलेट चुनें।","प्रीव्यूसाठी साइडबारमधून टेम्पलेट निवडा.","Chagua templeti kutoka upau wa pembeni kuhakiki.","ಪೂರ್ವವೀಕ್ಷಿಸಲು ಸೈಡ್‌ಬಾರ್‌ನಿಂದ ಟೆಂಪ್ಲೇಟ್ ಆಯ್ಕೆ ಮಾಡಿ."
local_airpay_emails,manage,"Notification Management","नोटिफ़िकेशन मैनेजमेंट","सूचना व्यवस्थापन","Usimamizi wa Arifa","ಅಧಿಸೂಚನೆ ನಿರ್ವಹಣೆ"
local_airpay_emails,manage_desc,"Manage email templates, notification rules, and delivery logs.","ईमेल टेम्पलेट, नोटिफ़िकेशन रूल्स और डिलीवरी लॉग मैनेज करें।","ईमेल टेम्पलेट, सूचना नियम आणि डिलिव्हरी लॉग व्यवस्थापित करा.","Simamia templeti za barua pepe, sheria za arifa na kumbukumbu za uwasilishaji.","ಇಮೇಲ್ ಟೆಂಪ್ಲೇಟ್‌ಗಳು, ಅಧಿಸೂಚನೆ ನಿಯಮಗಳು ಮತ್ತು ವಿತರಣಾ ಲಾಗ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಿ."
local_airpay_emails,tab_dashboard,Dashboard,डैशबोर्ड,डॅशबोर्ड,Dashibodi,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್
local_airpay_emails,tab_templates,Templates,टेम्पलेट्स,टेम्पलेट्स,Templeti,ಟೆಂಪ್ಲೇಟ್‌ಗಳು
local_airpay_emails,tab_rules,Rules,रूल्स,नियम,Sheria,ನಿಯಮಗಳು
local_airpay_emails,tab_logs,Logs,लॉग्स,लॉग्स,Kumbukumbu,ಲಾಗ್‌ಗಳು
local_airpay_emails,tab_settings,Settings,सेटिंग्स,सेटिंग्ज,Mipangilio,ಸೆಟ್ಟಿಂಗ್‌ಗಳು
local_airpay_emails,save_success,"Template saved successfully.","टेम्पलेट सेव हो गया।","टेम्पलेट सेव्ह झाले.","Templeti imehifadhiwa.","ಟೆಂಪ್ಲೇಟ್ ಉಳಿಸಲಾಗಿದೆ."
local_airpay_emails,revert_success,"Reverted to default template.","डिफ़ॉल्ट टेम्पलेट पर वापस गया।","डीफॉल्ट टेम्पलेटवर परत गेले.","Imerudi kwa templeti chaguo-msingi.","ಡೀಫಾಲ್ಟ್ ಟೆಂಪ್ಲೇಟ್‌ಗೆ ಮರಳಿದೆ."
local_airpay_emails,rule_enabled,"Rule enabled.","रूल चालू हो गया।","नियम चालू झाला.","Sheria imewashwa.","ನಿಯಮ ಸಕ್ರಿಯಗೊಂಡಿದೆ."
local_airpay_emails,rule_disabled,"Rule disabled.","रूल बंद हो गया।","नियम बंद झाला.","Sheria imezimwa.","ನಿಯಮ ನಿಷ್ಕ್ರಿಯಗೊಂಡಿದೆ."
local_airpay_emails,noemailever_warning,"Email sending is disabled on this server ($CFG->noemailever = true). All deliveries will be logged as suppressed.","इस सर्वर पर ईमेल भेजना बंद है। सभी डिलीवरी suppressed के तौर पर लॉग होंगी।","या सर्व्हरवर ईमेल पाठवणे बंद आहे. सर्व डिलिव्हरी suppressed म्हणून लॉग होतील.","Kutuma barua pepe kumezimwa kwenye seva hii. Uwasilishaji wote utarekodiwa kama umezuiwa.","ಈ ಸರ್ವರ್‌ನಲ್ಲಿ ಇಮೇಲ್ ಕಳುಹಿಸುವುದನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ. ಎಲ್ಲಾ ವಿತರಣೆಗಳನ್ನು ನಿಗ್ರಹಿಸಿದ ಎಂದು ಲಾಗ್ ಮಾಡಲಾಗುತ್ತದೆ."
local_airpay_emails,task_process_rules,"Process notification rules","नोटिफ़िकेशन रूल्स प्रोसेस करें","सूचना नियम प्रक्रिया करा","Tekeleza sheria za arifa","ಅಧಿಸೂಚನೆ ನಿಯಮಗಳನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಿ"
local_airpay_emails,notification_alert,"Notification alert","नोटिफ़िकेशन अलर्ट","सूचना अलर्ट","Arifa ya tahadhari","ಅಧಿಸೂಚನೆ ಎಚ್ಚರಿಕೆ"
theme_airpayux,advancedsettings,"Advanced settings","एडवांस्ड सेटिंग्स","प्रगत सेटिंग्ज","Mipangilio ya juu","ಸುಧಾರಿತ ಸೆಟ್ಟಿಂಗ್‌ಗಳು"
theme_airpayux,colorsettings,"Color settings","रंग सेटिंग्स","रंग सेटिंग्ज","Mipangilio ya rangi","ಬಣ್ಣ ಸೆಟ್ಟಿಂಗ್‌ಗಳು"
theme_airpayux,backgroundimage,"Background image","बैकग्राउंड इमेज","पार्श्वभूमी चित्र","Picha ya mandhari","ಹಿನ್ನೆಲೆ ಚಿತ್ರ"
theme_airpayux,backgroundimage_desc,"The image to display as a background of the site. The background image you upload here will override the background image in your theme preset files.","साइट के बैकग्राउंड में दिखाई जाने वाली इमेज।","साइटच्या पार्श्वभूमीसाठी दाखवण्यासाठी चित्र.","Picha ya kuonyeshwa kama mandhari ya tovuti.","ಸೈಟ್‌ನ ಹಿನ್ನೆಲೆಯಾಗಿ ತೋರಿಸಲು ಚಿತ್ರ."
theme_airpayux,brandcolor,"Brand colour","ब्रांड कलर","ब्रँड रंग","Rangi ya chapa","ಬ್ರ್ಯಾಂಡ್ ಬಣ್ಣ"
theme_airpayux,brandcolor_desc,"The accent colour.","एक्सेंट कलर।","ऍक्सेंट रंग.","Rangi ya msisitizo.","ಒತ್ತು ಬಣ್ಣ."
theme_airpayux,primarycolor,"Site Primary Color","मुख्य रंग","प्राथमिक रंग","Rangi kuu","ಪ್ರಾಥಮಿಕ ಬಣ್ಣ"
theme_airpayux,primarycolor_desc,"Pick your site primary color for Button , Icons and Tabs","बटन, आइकन और टैब्स के लिए मुख्य रंग चुनें","बटणे, आयकॉन आणि टॅबसाठी प्राथमिक रंग निवडा","Chagua rangi kuu kwa vifungo, aikoni na tabo","ಬಟನ್‌ಗಳು, ಐಕಾನ್‌ಗಳು ಮತ್ತು ಟ್ಯಾಬ್‌ಗಳಿಗೆ ಪ್ರಾಥಮಿಕ ಬಣ್ಣ ಆಯ್ಕೆ ಮಾಡಿ"
theme_airpayux,secondarycolor,"Site Seconday Color","सेकेंडरी रंग","दुय्यम रंग","Rangi ya pili","ದ್ವಿತೀಯ ಬಣ್ಣ"
theme_airpayux,secondarycolor_desc,"Pick your site seconday color","सेकेंडरी रंग चुनें","दुय्यम रंग निवडा","Chagua rangi ya pili","ದ್ವಿತೀಯ ಬಣ್ಣ ಆಯ್ಕೆ ಮಾಡಿ"
theme_airpayux,hovercolor,"Site hover colour","होवर रंग","होव्हर रंग","Rangi ya hover","ಹೋವರ್ ಬಣ್ಣ"
theme_airpayux,hovercolor_desc,"Pick your site hover colour","होवर रंग चुनें","होव्हर रंग निवडा","Chagua rangi ya hover","ಹೋವರ್ ಬಣ್ಣ ಆಯ್ಕೆ ಮಾಡಿ"
theme_airpayux,bootswatch,Bootswatch,बूटस्वॉच,बूटस्वॉच,Bootswatch,ಬೂಟ್‌ಸ್ವಾಚ್
theme_airpayux,bootswatch_desc,"A bootswatch is a set of Bootstrap variables and css to style Bootstrap","Bootstrap स्टाइल करने के लिए वेरिएबल्स और CSS का सेट","Bootstrap स्टाइल करण्यासाठी व्हेरिएबल्स आणि CSS चा संच","Seti ya vigeu vya Bootstrap na CSS","Bootstrap ಸ್ಟೈಲ್ ಮಾಡಲು ವೇರಿಯೇಬಲ್‌ಗಳು ಮತ್ತು CSS ನ ಸೆಟ್"
theme_airpayux,choosereadme,"airpay academy UX — forked from BizLMS epsilon. Full design system with airpay branding, multi-tenant support, and responsive mobile experience.","एयरपे एकेडमी UX — BizLMS epsilon से फोर्क। एयरपे ब्रांडिंग, मल्टी-टेनेंट सपोर्ट और मोबाइल अनुभव के साथ पूरा डिज़ाइन सिस्टम।","एअरपे अकॅडमी UX — BizLMS epsilon वरून फॉर्क केलेले. एअरपे ब्रँडिंग, मल्टी-टेनंट सपोर्ट आणि मोबाइल अनुभवासह पूर्ण डिझाइन सिस्टम.","Airpay Academy UX — muundo kamili wenye chapa ya Airpay, msaada wa wapangaji wengi, na uzoefu wa simu.","ಏರ್‌ಪೇ ಅಕಾಡೆಮಿ UX — ಪೂರ್ಣ ಡಿಸೈನ್ ಸಿಸ್ಟಮ್, ಬಹು-ಹಂಚಿಕೆದಾರ ಬೆಂಬಲ, ಮೊಬೈಲ್ ಅನುಭವ."
theme_airpayux,currentinparentheses,(current),(वर्तमान),(सध्याचे),"(sasa hivi)",(ಪ್ರಸ್ತುತ)
theme_airpayux,configtitle,Epsilon,Epsilon,Epsilon,Epsilon,Epsilon
theme_airpayux,fontsize,"Theme base fontsize","फॉन्ट साइज़","थीम फॉन्ट आकार","Ukubwa wa fonti","ಫಾಂಟ್ ಗಾತ್ರ"
theme_airpayux,fontsize_desc,"Enter a fontsize in %","% में फॉन्ट साइज़ डालें","% मध्ये फॉन्ट आकार टाका","Weka ukubwa wa fonti katika %","% ನಲ್ಲಿ ಫಾಂಟ್ ಗಾತ್ರ ನಮೂದಿಸಿ"
theme_airpayux,generalsettings,"General settings","सामान्य सेटिंग्स","सामान्य सेटिंग्ज","Mipangilio ya jumla","ಸಾಮಾನ್ಯ ಸೆಟ್ಟಿಂಗ್‌ಗಳು"
theme_airpayux,loginbackgroundimage,"Login page background image","लॉगिन पेज बैकग्राउंड इमेज","लॉगिन पेज पार्श्वभूमी चित्र","Picha ya mandhari ya kuingia","ಲಾಗಿನ್ ಪುಟ ಹಿನ್ನೆಲೆ ಚಿತ್ರ"
theme_airpayux,loginbackgroundimage_desc,"The image to display as a background for the login page.","लॉगिन पेज के लिए बैकग्राउंड इमेज।","लॉगिन पेजसाठी पार्श्वभूमी चित्र.","Picha ya mandhari kwa ukurasa wa kuingia.","ಲಾಗಿನ್ ಪುಟಕ್ಕೆ ಹಿನ್ನೆಲೆ ಚಿತ್ರ."
theme_airpayux,nobootswatch,None,"कुछ नहीं","काहीही नाही",Hakuna,"ಯಾವುದೂ ಇಲ್ಲ"
theme_airpayux,customsettings,"Custom settings","कस्टम सेटिंग्स","कस्टम सेटिंग्ज","Mipangilio maalum","ಕಸ್ಟಮ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳು"
theme_airpayux,pluginname,Epsilon,Epsilon,Epsilon,Epsilon,Epsilon
theme_airpayux,presetfiles,"Additional theme preset files","एक्स्ट्रा थीम प्रीसेट फ़ाइलें","अतिरिक्त थीम प्रीसेट फाइल्स","Faili za ziada za mipangilio","ಹೆಚ್ಚುವರಿ ಥೀಮ್ ಪ್ರೀಸೆಟ್ ಫೈಲ್‌ಗಳು"
